rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	183	1363	100	181.917	43.7	58.6
Enterococcus_4;size=4	1	1381	390	1381	100	388.026	43.9	59.2
Staphylococcus_4;size=4	1	1372	467	1372	100	463.544	44	33.1
Bacillus_4_5;size=3	1	1370	195	1370	100	194.139	43.1	10.9
Bacillus_7;size=2	1	1370	97	1370	100	96.6365	43	11.2
Escherichia_5;size=2	1	1363	60	1363	100	59.8533	44.8	18.9
Listeria_2_5;size=2	1	1370	258	1370	100	256.976	42.9	14.5
Listeria_6;size=2	1	1370	188	1370	100	187.177	43.4	16.4
Bacillus_1;size=1	1	1370	57	1370	100	56.8051	42.8	12.2
Bacillus_3;size=1	1	1370	53	1370	100	52.8204	42.6	13.2
Bacillus_8;size=1	1	1370	124	1370	100	122.115	43.1	22.6
Bacillus_9;size=1	1	1370	106	1370	100	105.636	43.3	10.4
Escherichia_1;size=1	1	1363	40	1363	100	39.672	44	46.2
Escherichia_2;size=1	1	1363	24	1363	100	23.9369	44.7	16.4
Escherichia_4;size=1	1	1363	31	1363	100	30.8562	42.2	56.8
Escherichia_6;size=1	1	1363	30	1363	100	29.807	42.6	52
Escherichia_7;size=1	1	1363	30	1363	100	29.6544	44.1	46.7
Lactobacillus_1;size=1	1	1406	74	1406	100	72.9673	42	35.7
Lactobacillus_2;size=1	1	1396	85	1396	100	84.4119	42.3	23.9
Lactobacillus_3;size=1	1	1396	134	1396	100	133.168	41.6	21.7
Lactobacillus_4;size=1	1	1396	123	1396	100	122.341	42.2	34.1
Lactobacillus_5;size=1	1	1396	106	1396	100	105.298	41.7	39.9
Listeria_1;size=1	1	1370	123	1370	100	122.371	43.2	15
Pseudomonas_1_2_3_4;size=1	1	1357	50	1357	100	49.4422	43.9	59.9
Salmonella_7;size=1	1	1363	46	1363	100	45.474	43.4	51.5
Staphylococcus_2;size=1	1	1372	112	1372	100	111.654	43.8	41.4
Staphylococcus_3;size=1	1	1372	115	1372	100	113.921	43.7	30.3
