rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	88522	1363	100	87981.4	43.7	58.4
Enterococcus_4;size=4	1	1381	192451	1381	100	191457	43.9	59.1
Staphylococcus_4;size=4	1	1372	235456	1372	100	234377	44.1	33.2
Bacillus_4_5;size=3	1	1370	85750	1370	100	85358.9	43	11.7
Bacillus_7;size=2	1	1370	52766	1370	100	52502.2	42.9	12
Escherichia_5;size=2	1	1363	25865	1363	100	25732.8	43.9	18.1
Listeria_2_5;size=2	1	1370	135346	1370	100	134783	43.3	14.5
Listeria_6;size=2	1	1370	93951	1370	100	93516.9	43.4	15.9
Bacillus_1;size=1	1	1370	28631	1370	100	28469.4	43	11.8
Bacillus_3;size=1	1	1370	28651	1370	100	28491.1	42.8	13.7
Bacillus_8;size=1	1	1370	55552	1370	100	55265	42.9	23.1
Bacillus_9;size=1	1	1370	49758	1370	100	49510.5	43	9.38
Escherichia_1;size=1	1	1363	17329	1363	100	17216.3	43.9	47.4
Escherichia_2;size=1	1	1363	12996	1363	100	12907.2	43.7	17.4
Escherichia_4;size=1	1	1363	14041	1363	100	13948.7	43.9	50.7
Escherichia_6;size=1	1	1363	13809	1363	100	13657	43.7	54.7
Escherichia_7;size=1	1	1363	16866	1363	100	16695.6	43.8	47.9
Lactobacillus_1;size=1	1	1406	41262	1406	100	40845.6	42.1	39.9
Lactobacillus_2;size=1	1	1396	42257	1396	100	41914.4	42.1	23.8
Lactobacillus_3;size=1	1	1396	66929	1396	100	66412.5	42.1	22.1
Lactobacillus_4;size=1	1	1396	58546	1396	100	58026.5	42.1	32.7
Lactobacillus_5;size=1	1	1396	57668	1396	100	57267.7	42.1	39.4
Listeria_1;size=1	1	1370	56796	1370	100	56379.5	43.4	15.3
Pseudomonas_1_2_3_4;size=1	1	1357	23813	1357	100	23629.2	43.6	59.8
Salmonella_7;size=1	1	1363	17780	1363	100	17638.3	43.7	54.4
Staphylococcus_2;size=1	1	1372	56353	1372	100	56083.2	44.1	41.9
Staphylococcus_3;size=1	1	1372	55006	1372	100	54673.2	44.1	29.4
