rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	1948	4210	100	1930.32	42.9	5.02
Bacillus_1;size=1	1	4210	2911	4210	100	2885.74	42.7	3.07
Bacillus_2;size=1	1	4387	2180	4387	100	2147.31	42.9	9.73
Bacillus_3;size=1	1	4387	1301	4387	100	1278.02	42.6	7.78
Bacillus_4_5;size=1	1	4210	4208	4210	100	4175.3	43	3.02
Bacillus_6;size=1	1	4210	2122	4210	100	2098.43	42.9	4.98
Bacillus_7;size=1	1	4210	1862	4210	100	1839.97	42.5	3.25
Bacillus_8;size=1	1	4210	2724	4210	100	2697.78	42.8	14.7
Bacillus_9;size=1	1	4210	2181	4210	100	2150.33	42.8	11.1
Enterococcus_1;size=1	1	4364	1429	4364	100	1403.42	43.8	29.5
Enterococcus_2;size=1	1	4364	2219	4364	100	2180.46	43.5	28.2
Enterococcus_3;size=1	1	4262	3031	4262	100	2990.7	43.5	5.02
Enterococcus_4;size=1	1	4262	2709	4262	100	2677.36	43.7	5.1
Escherichia_1;size=1	1	4451	1443	4451	100	1422.43	43.6	42.2
Escherichia_2;size=1	1	4358	1565	4358	100	1544.32	43.4	4.92
Escherichia_3;size=1	1	4358	1885	4358	100	1860.42	43.6	5.21
Escherichia_4;size=1	1	4452	1388	4452	100	1367.49	43.5	39.8
Escherichia_5;size=1	1	4358	2171	4358	100	2148.11	43.7	5.02
Escherichia_6;size=1	1	4441	1539	4441	100	1513.85	43.4	47.5
Escherichia_7;size=1	1	4435	1345	4435	100	1324.21	43.5	56.5
Lactobacillus_1;size=1	1	4268	3715	4268	100	3638.67	42.8	33.8
Lactobacillus_2;size=1	1	4453	3272	4453	100	3191.24	42.8	41.8
Lactobacillus_3;size=1	1	4258	4904	4258	100	4806.54	42.7	33.1
Lactobacillus_4;size=1	1	4258	3695	4258	100	3614.81	42.8	33.2
Lactobacillus_5;size=1	1	4453	2837	4453	100	2774.4	42.7	42.5
Listeria_1;size=1	1	4291	4769	4291	100	4706.21	42.8	3.34
Listeria_2_5;size=1	1	4291	4927	4291	100	4873.78	42.9	4.86
Listeria_3;size=1	1	4542	2779	4542	100	2703.56	43.1	4.77
Listeria_4;size=1	1	4542	2595	4542	100	2525.33	42.8	3.78
Listeria_6;size=1	1	4291	4589	4291	100	4538.32	43	3.76
Pseudomonas_1_2_3_4;size=1	1	4456	2174	4456	100	2122.93	43.5	59.8
Salmonella_1;size=1	1	4360	3730	4360	100	3684.77	43.2	4.35
Salmonella_2_4;size=1	1	4360	3060	4360	100	3029.18	43.4	4.93
Salmonella_3;size=1	1	4519	1775	4519	100	1743.14	43.7	14.1
Salmonella_5;size=1	1	4519	1514	4519	100	1483.43	43.2	14
Salmonella_6;size=1	1	4360	1494	4360	100	1471.84	43	5.92
Salmonella_7;size=1	1	4619	1137	4619	100	1109.76	43.6	54.2
Staphylococcus_1;size=1	1	4466	3082	4466	100	3012.54	43.5	37.1
Staphylococcus_2;size=1	1	4512	2666	4512	100	2625.19	43.7	43.7
Staphylococcus_3;size=1	1	4516	3007	4516	100	2954.19	43.7	53.9
Staphylococcus_4;size=1	1	4391	2486	4391	100	2448.03	43.8	31
Staphylococcus_5;size=1	1	4424	3114	4424	100	3069.74	43.7	44.1
Staphylococcus_6;size=1	1	4483	2550	4483	100	2508.36	43.8	53.9
