rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1633	1363	100	1630	39.6	57.7
Enterococcus_4;size=4	1	1381	2799	1381	100	2793.86	39.6	59.2
Staphylococcus_4;size=4	1	1372	3723	1372	100	3716.97	39.7	32.9
Bacillus_4_5;size=3	1	1370	1319	1370	100	1317.03	39.6	10.9
Bacillus_7;size=2	1	1370	705	1370	100	704.03	39.6	11.1
Escherichia_5;size=2	1	1363	524	1363	100	523.495	39.7	17.8
Listeria_2_5;size=2	1	1370	2101	1370	100	2098.73	39.6	15.8
Listeria_6;size=2	1	1370	1385	1370	100	1383.14	39.7	15.1
Bacillus_1;size=1	1	1370	479	1370	100	478.278	39.6	10.2
Bacillus_3;size=1	1	1370	439	1370	100	438.366	39.6	13.6
Bacillus_8;size=1	1	1370	824	1370	100	823.149	39.6	22.5
Bacillus_9;size=1	1	1370	705	1370	100	703.666	39.7	10.3
Escherichia_1;size=1	1	1363	252	1363	100	251.15	39.5	47.5
Escherichia_2;size=1	1	1363	248	1363	100	247.731	39.6	16.2
Escherichia_4;size=1	1	1363	210	1363	100	209.681	39.7	47.2
Escherichia_6;size=1	1	1363	240	1363	100	239.784	39.7	52.4
Escherichia_7;size=1	1	1363	275	1363	100	274.398	39.6	47.8
Lactobacillus_1;size=1	1	1406	666	1406	100	662.626	39.6	39.2
Lactobacillus_2;size=1	1	1396	624	1396	100	622.159	39.6	23.7
Lactobacillus_3;size=1	1	1396	1153	1396	100	1150.29	39.6	20.2
Lactobacillus_4;size=1	1	1396	944	1396	100	940.84	39.6	31.2
Lactobacillus_5;size=1	1	1396	854	1396	100	852.43	39.6	37.1
Listeria_1;size=1	1	1370	848	1370	100	845.508	39.6	15.2
Pseudomonas_1_2_3_4;size=1	1	1357	348	1357	100	347.332	39.6	60
Salmonella_7;size=1	1	1363	287	1363	100	286.544	39.6	53
Staphylococcus_2;size=1	1	1372	945	1372	100	943.702	39.6	37.7
Staphylococcus_3;size=1	1	1372	920	1372	100	918.484	39.6	28.4
