rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Salmonella_5;size=5	1	1363	1332	1363	100	1328.18	76.3	59.9
Enterococcus_4;size=4	1	1381	911	1381	100	908.223	75.3	59.8
Staphylococcus_4;size=4	1	1372	6120	1372	100	6104.18	75.7	38.3
Bacillus_4_5;size=3	1	1370	1354	1370	100	1350.94	74.7	14.5
Bacillus_7;size=2	1	1370	759	1370	100	757.518	75.9	14.5
Escherichia_5;size=2	1	1363	882	1363	100	880.239	75.6	18.5
Listeria_2_5;size=2	1	1370	1602	1370	100	1598.7	75.7	16.2
Listeria_6;size=2	1	1370	917	1370	100	915.036	75.3	16.6
Bacillus_1;size=1	1	1370	301	1370	100	300.245	74.7	13.6
Bacillus_3;size=1	1	1370	204	1370	100	203.66	77.2	15.1
Bacillus_8;size=1	1	1370	369	1370	100	368.193	75.2	30.5
Bacillus_9;size=1	1	1370	427	1370	100	424.955	72.4	18.7
Escherichia_1;size=1	1	1363	428	1363	100	426.921	76.4	59.7
Escherichia_2;size=1	1	1363	461	1363	100	460.032	76	18
Escherichia_4;size=1	1	1363	337	1363	100	336.386	77.9	59.2
Escherichia_6;size=1	1	1363	343	1363	100	341.275	74.6	59.3
Escherichia_7;size=1	1	1363	344	1363	100	343.08	78.6	58.4
Lactobacillus_1;size=1	1	1406	879	1406	100	877.022	75.5	53.7
Lactobacillus_2;size=1	1	1396	651	1396	100	649.403	75.7	33.1
Lactobacillus_3;size=1	1	1396	992	1396	100	989.326	76.9	28.9
Lactobacillus_4;size=1	1	1396	959	1396	100	957.125	74.8	37
Lactobacillus_5;size=1	1	1396	662	1396	100	659.989	74.4	44.1
Listeria_1;size=1	1	1370	666	1370	100	664.253	74.2	18
Pseudomonas_1_2_3_4;size=1	1	1357	2041	1357	100	2036.75	76.6	60
Salmonella_7;size=1	1	1363	138	1363	100	137.665	73.6	59.6
Staphylococcus_2;size=1	1	1372	1484	1372	100	1480.88	75.4	49
Staphylococcus_3;size=1	1	1372	1124	1372	100	1119.9	75.8	40.8
