rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Bacillus_10;size=1	1	4210	365	4210	100	363.771	76.2	5.39
Bacillus_1;size=1	1	4210	360	4210	100	358.49	74	5.18
Bacillus_2;size=1	1	4387	297	4387	100	295.37	73.8	13.2
Bacillus_3;size=1	1	4387	267	4387	100	265.521	76.6	13
Bacillus_4_5;size=1	1	4210	903	4210	100	900.732	75.3	5.28
Bacillus_6;size=1	1	4210	416	4210	100	415.054	75.1	7.25
Bacillus_7;size=1	1	4210	408	4210	100	406.998	74.4	4.98
Bacillus_8;size=1	1	4210	403	4210	100	402.165	74.3	21.8
Bacillus_9;size=1	1	4210	469	4210	100	467.076	74.3	20.9
Enterococcus_1;size=1	1	4364	186	4364	100	185.182	75.6	32.7
Enterococcus_2;size=1	1	4364	250	4364	100	249.251	74.3	33.2
Enterococcus_3;size=1	1	4262	333	4262	100	331.205	74.6	5.41
Enterococcus_4;size=1	1	4262	312	4262	100	310.964	74.9	5.66
Escherichia_1;size=1	1	4451	452	4451	100	451.059	77.2	59.4
Escherichia_2;size=1	1	4358	524	4358	100	522.916	78	6.3
Escherichia_3;size=1	1	4358	545	4358	100	543.829	75.9	6.21
Escherichia_4;size=1	1	4452	383	4452	100	381.914	75	59.4
Escherichia_5;size=1	1	4358	496	4358	100	494.683	76.3	5.87
Escherichia_6;size=1	1	4441	402	4441	100	401.212	77.2	59.7
Escherichia_7;size=1	1	4435	427	4435	100	425.989	76.1	60
Lactobacillus_1;size=1	1	4268	940	4268	100	936.851	73.3	56.6
Lactobacillus_2;size=1	1	4453	696	4453	100	694.456	75.4	59.9
Lactobacillus_3;size=1	1	4258	1033	4258	100	1030.15	75.8	53.9
Lactobacillus_4;size=1	1	4258	1067	4258	100	1064.5	74.6	56.4
Lactobacillus_5;size=1	1	4453	739	4453	100	730.58	74.5	59
Listeria_1;size=1	1	4291	807	4291	100	805.113	75	6.26
Listeria_2_5;size=1	1	4291	1489	4291	100	1485.53	75.2	5.67
Listeria_3;size=1	1	4542	460	4542	100	458.58	74.8	5.59
Listeria_4;size=1	1	4542	402	4542	100	401.096	76	5.16
Listeria_6;size=1	1	4291	662	4291	100	660.355	75.1	5.76
Pseudomonas_1_2_3_4;size=1	1	4456	2429	4456	100	2419.77	76.7	60
Salmonella_1;size=1	1	4360	267	4360	100	266.274	76.5	4.98
Salmonella_2_4;size=1	1	4360	611	4360	100	609.355	75.5	4.75
Salmonella_3;size=1	1	4519	184	4519	100	182.664	76.4	20.1
Salmonella_5;size=1	1	4519	223	4519	100	222.084	77.4	19.8
Salmonella_6;size=1	1	4360	307	4360	100	306.442	77.9	7.12
Salmonella_7;size=1	1	4619	164	4619	100	163.084	77.3	60
Staphylococcus_1;size=1	1	4466	1662	4466	100	1658.21	75.3	50.3
Staphylococcus_2;size=1	1	4512	1670	4512	100	1666.17	75.7	58.5
Staphylococcus_3;size=1	1	4516	1291	4516	100	1287.74	74.4	59.9
Staphylococcus_4;size=1	1	4391	1857	4391	100	1852.86	74.7	39.8
Staphylococcus_5;size=1	1	4424	1860	4424	100	1853.99	73.6	51.6
Staphylococcus_6;size=1	1	4483	1525	4483	100	1519.98	74.6	59.7
