#OTU ID	Read
Zotu23	32
Zotu287	10
Zotu7	155
Zotu308	17
Zotu2	321
Zotu50	55
Zotu203	14
Zotu128	22
Zotu1	311
Zotu5	104
Zotu19	29
Zotu433	14
Zotu1744	4
Zotu1857	2
Zotu1450	8
Zotu195	13
Zotu746	13
Zotu4	129
Zotu480	21
Zotu648	17
Zotu1085	6
Zotu189	22
Zotu909	5
Zotu410	21
Zotu1176	4
Zotu347	20
Zotu2015	1
Zotu1856	7
Zotu1328	24
Zotu890	8
Zotu2034	5
Zotu11	109
Zotu58	48
Zotu52	28
Zotu539	2
Zotu1030	8
Zotu858	9
Zotu829	18
Zotu205	12
Zotu1143	4
Zotu288	16
Zotu477	10
Zotu130	16
Zotu826	7
Zotu68	21
Zotu81	24
Zotu1941	6
Zotu269	31
Zotu415	15
Zotu67	27
Zotu216	19
Zotu863	6
Zotu1039	2
Zotu2184	7
Zotu30	55
Zotu456	11
Zotu349	20
Zotu1927	4
Zotu202	21
Zotu162	37
Zotu2050	2
Zotu1811	8
Zotu1959	5
Zotu2022	4
Zotu1573	2
Zotu585	5
Zotu1205	23
Zotu1689	8
Zotu951	8
Zotu1925	8
Zotu21	62
Zotu119	21
Zotu14	85
Zotu1821	12
Zotu1165	5
Zotu690	13
Zotu294	27
Zotu1312	5
Zotu219	25
Zotu193	16
Zotu89	20
Zotu701	19
Zotu357	20
Zotu351	9
Zotu875	6
Zotu253	18
Zotu1304	7
Zotu1026	7
Zotu1945	7
Zotu531	6
Zotu100	25
Zotu508	7
Zotu34	64
Zotu1643	16
Zotu912	9
Zotu46	18
Zotu1220	20
Zotu575	9
Zotu1783	5
Zotu1597	16
Zotu144	22
Zotu541	33
Zotu185	10
Zotu2072	14
Zotu976	18
Zotu169	25
Zotu1708	3
Zotu33	31
Zotu651	10
Zotu356	11
Zotu1382	13
Zotu188	21
Zotu12	104
Zotu1842	7
Zotu28	65
Zotu546	15
Zotu135	25
Zotu1024	8
Zotu1635	16
Zotu32	70
Zotu2197	2
Zotu1455	6
Zotu867	8
Zotu543	5
Zotu1996	9
Zotu115	25
Zotu471	13
Zotu1809	7
Zotu440	20
Zotu108	22
Zotu87	35
Zotu1263	10
Zotu43	33
Zotu849	4
Zotu1025	6
Zotu152	21
Zotu447	12
Zotu348	10
Zotu1474	5
Zotu421	11
Zotu358	30
Zotu623	10
Zotu110	43
Zotu265	21
Zotu29	51
Zotu1007	8
Zotu15	58
Zotu533	17
Zotu601	4
Zotu378	3
Zotu616	13
Zotu1262	8
Zotu423	4
Zotu1590	5
Zotu1157	6
Zotu70	20
Zotu910	21
Zotu777	11
Zotu1399	18
Zotu1453	3
Zotu1954	9
Zotu411	22
Zotu1412	8
Zotu926	11
Zotu248	13
Zotu427	18
Zotu2125	16
Zotu2238	7
Zotu9	101
Zotu2036	6
Zotu372	9
Zotu64	44
Zotu164	16
Zotu1980	18
Zotu148	19
Zotu13	80
Zotu589	18
Zotu2006	9
Zotu339	14
Zotu109	23
Zotu47	32
Zotu17	80
Zotu2038	12
Zotu627	9
Zotu794	8
Zotu576	14
Zotu774	12
Zotu18	40
Zotu1602	12
Zotu2128	6
Zotu630	25
Zotu180	16
Zotu286	13
Zotu41	42
Zotu120	30
Zotu1838	10
Zotu2230	7
Zotu1486	4
Zotu124	13
Zotu968	9
Zotu192	16
Zotu327	20
Zotu123	14
Zotu273	14
Zotu932	16
Zotu92	29
Zotu1872	14
Zotu1584	13
Zotu395	15
Zotu753	5
Zotu97	18
Zotu137	23
Zotu1766	6
Zotu1437	17
Zotu1726	4
Zotu1456	6
Zotu76	33
Zotu1322	12
Zotu75	39
Zotu591	3
Zotu134	11
Zotu204	15
Zotu472	29
Zotu161	13
Zotu728	12
Zotu1286	7
Zotu212	21
Zotu664	19
Zotu634	23
Zotu392	7
Zotu27	55
Zotu380	10
Zotu861	5
Zotu190	15
Zotu1957	2
Zotu1615	2
Zotu99	17
Zotu470	11
Zotu2310	29
Zotu231	21
Zotu85	24
Zotu197	18
Zotu362	24
Zotu1369	27
Zotu1677	16
Zotu385	10
Zotu1376	22
Zotu86	28
Zotu331	8
Zotu20	54
Zotu816	8
Zotu966	8
Zotu215	12
Zotu1516	6
Zotu491	5
Zotu876	19
Zotu2198	16
Zotu42	28
Zotu1471	8
Zotu2054	10
Zotu638	14
Zotu677	18
Zotu1249	7
Zotu1276	2
Zotu1321	16
Zotu24	42
Zotu57	52
Zotu881	8
Zotu40	39
Zotu2246	9
Zotu493	16
Zotu8	84
Zotu665	9
Zotu66	40
Zotu2073	7
Zotu375	7
Zotu1197	6
Zotu802	3
Zotu598	9
Zotu355	17
Zotu317	9
Zotu835	11
Zotu2167	15
Zotu285	14
Zotu1002	16
Zotu6	161
Zotu1824	5
Zotu1989	10
Zotu683	13
Zotu996	8
Zotu791	31
Zotu1875	5
Zotu387	9
Zotu1306	6
Zotu1723	5
Zotu83	32
