#OTU ID	Read
Zotu4	29
Zotu240	1
Zotu1916	2
Zotu1	73
Zotu400	2
Zotu717	2
Zotu255	2
Zotu11	27
Zotu78	3
Zotu513	2
Zotu362	4
Zotu12	34
Zotu1214	2
Zotu133	8
Zotu66	11
Zotu28	20
Zotu15	8
Zotu780	3
Zotu6	30
Zotu30	16
Zotu39	12
Zotu561	3
Zotu308	1
Zotu462	5
Zotu50	7
Zotu104	4
Zotu329	4
Zotu1144	2
Zotu285	1
Zotu13	17
Zotu2172	1
Zotu369	2
Zotu51	15
Zotu91	7
Zotu267	3
Zotu26	33
Zotu14	21
Zotu117	11
Zotu169	3
Zotu746	2
Zotu1426	3
Zotu1073	4
Zotu160	4
Zotu1436	2
Zotu2	65
Zotu1081	2
Zotu184	1
Zotu17	19
Zotu920	3
Zotu49	8
Zotu1311	2
Zotu575	1
Zotu23	17
Zotu1721	2
Zotu1509	1
Zotu100	8
Zotu609	3
Zotu70	8
Zotu64	15
Zotu47	10
Zotu85	7
Zotu150	7
Zotu3	46
Zotu27	17
Zotu1911	3
Zotu427	4
Zotu417	4
Zotu126	9
Zotu130	2
Zotu688	3
Zotu722	2
Zotu1690	1
Zotu53	14
Zotu618	2
Zotu1095	2
Zotu24	19
Zotu863	1
Zotu277	8
Zotu114	1
Zotu97	4
Zotu80	8
Zotu7	26
Zotu1047	1
Zotu170	3
Zotu60	6
Zotu166	3
Zotu843	4
Zotu46	3
Zotu208	1
Zotu56	8
Zotu173	2
Zotu1833	1
Zotu1713	2
Zotu387	2
Zotu214	1
Zotu868	4
Zotu140	7
Zotu1682	1
Zotu148	5
Zotu1116	2
Zotu600	6
Zotu161	5
Zotu1271	1
Zotu501	3
Zotu885	1
Zotu54	10
Zotu42	14
Zotu48	6
Zotu33	13
Zotu409	2
Zotu219	6
Zotu828	1
Zotu1840	2
Zotu377	1
Zotu512	1
Zotu8	33
Zotu88	9
Zotu44	7
Zotu274	3
Zotu1846	2
Zotu393	1
Zotu79	7
Zotu43	13
Zotu62	7
