truth_asv	length	mapped_reads	mean_mapped_depth	badread_selection_weight	expected_read_fraction
Salmonella_5;size=5	1363	16195	16101.800000	21946753.400000	0.053494860
Enterococcus_4;size=4	1381	35720	35532.000000	49069692.000000	0.119606589
Staphylococcus_4;size=4	1372	43773	43572.200000	59781058.400000	0.145715373
Bacillus_4_5;size=3	1370	15771	15693.900000	21500643.000000	0.052407473
Bacillus_7;size=2	1370	9737	9688.950000	13273861.500000	0.032354825
Escherichia_5;size=2	1363	4759	4737.330000	6456980.790000	0.015738787
Listeria_2_5;size=2	1370	24891	24784.200000	33954354.000000	0.082763194
Listeria_6;size=2	1370	17415	17331.800000	23744566.000000	0.057876999
Bacillus_1;size=1	1370	5250	5217.160000	7147509.200000	0.017421939
Bacillus_3;size=1	1370	5268	5234.850000	7171744.500000	0.017481012
Bacillus_8;size=1	1370	10283	10230.000000	14015100.000000	0.034161582
Bacillus_9;size=1	1370	9082	9035.780000	12379018.600000	0.030173660
Escherichia_1;size=1	1363	3218	3196.810000	4357252.030000	0.010620732
Escherichia_2;size=1	1363	2405	2391.120000	3259096.560000	0.007943996
Escherichia_4;size=1	1363	2577	2557.220000	3485490.860000	0.008495828
Escherichia_6;size=1	1363	2569	2541.500000	3464064.500000	0.008443602
Escherichia_7;size=1	1363	3054	3026.040000	4124492.520000	0.010053384
Lactobacillus_1;size=1	1406	7621	7540.930000	10602547.580000	0.025843540
Lactobacillus_2;size=1	1396	7745	7681.790000	10723778.840000	0.026139039
Lactobacillus_3;size=1	1396	12306	12214.200000	17051023.200000	0.041561596
Lactobacillus_4;size=1	1396	10996	10899.600000	15215841.600000	0.037088370
Lactobacillus_5;size=1	1396	10854	10774.400000	15041062.400000	0.036662349
Listeria_1;size=1	1370	10558	10480.500000	14358285.000000	0.034998090
Pseudomonas_1_2_3_4;size=1	1357	4339	4311.040000	5850081.280000	0.014259479
Salmonella_7;size=1	1363	3265	3239.350000	4415234.050000	0.010762062
Staphylococcus_2;size=1	1372	10342	10298.700000	14129816.400000	0.034441201
Staphylococcus_3;size=1	1372	10082	10014.400000	13739756.800000	0.033490437
