asv_header	depth	alignment_identity	number_mismatches	tax_id	species	genus	reference
final_consensus_0_depth_1239	1239	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28683
final_consensus_0_depth_1239	1239	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28820
final_consensus_0_depth_1239	1239	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28826
final_consensus_0_depth_1239	1239	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28662
final_consensus_0_depth_1239	1239	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28864
final_consensus_0_depth_1239	1239	100.00	0	985002	Staphylococcus argenteus	Staphylococcus	985002:emu_db:28684
final_consensus_1_depth_985	985	100.00	0	1351	Enterococcus faecalis	Enterococcus	1351:emu_db:49051
final_consensus_1_depth_985	985	100.00	0	1351	Enterococcus faecalis	Enterococcus	1351:emu_db:49053
final_consensus_1_depth_985	985	100.00	0	1351	Enterococcus faecalis	Enterococcus	1351:emu_db:10015
final_consensus_1_depth_985	985	100.00	0	1351	Enterococcus faecalis	Enterococcus	1351:emu_db:29735
final_consensus_2_depth_662	662	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33912
final_consensus_2_depth_662	662	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33855
final_consensus_2_depth_662	662	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33901
final_consensus_2_depth_662	662	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33875
final_consensus_2_depth_662	662	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33891
final_consensus_3_depth_548	548	100.00	0	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33720
final_consensus_3_depth_548	548	100.00	0	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:12524
final_consensus_4_depth_503	503	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31531
final_consensus_4_depth_503	503	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31875
final_consensus_4_depth_503	503	100.00	0	260554	Bacillus halotolerans	Bacillus	260554:emu_db:41913
final_consensus_4_depth_503	503	100.00	0	260554	Bacillus halotolerans	Bacillus	260554:emu_db:8955
final_consensus_5_depth_499	499	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33903
final_consensus_5_depth_499	499	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33854
final_consensus_6_depth_495	495	100.00	0	28901	Salmonella enterica	Salmonella	28901:emu_db:35615
final_consensus_6_depth_495	495	100.00	0	28901	Salmonella enterica	Salmonella	28901:emu_db:36320
final_consensus_6_depth_495	495	100.00	0	28901	Salmonella enterica	Salmonella	28901:emu_db:36367
final_consensus_6_depth_495	495	100.00	0	28901	Salmonella enterica	Salmonella	28901:emu_db:35443
final_consensus_7_depth_348	348	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31533
final_consensus_7_depth_348	348	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31881
final_consensus_8_depth_322	322	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31882
final_consensus_8_depth_322	322	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31534
final_consensus_9_depth_319	319	100.00	0	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33771
final_consensus_9_depth_319	319	100.00	0	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33727
final_consensus_10_depth_302	302	99.93	1	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:29069
final_consensus_10_depth_302	302	99.93	1	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28694
final_consensus_10_depth_302	302	99.93	1	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28652
final_consensus_11_depth_277	277	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33853
final_consensus_11_depth_277	277	100.00	0	1639	Listeria monocytogenes	Listeria	1639:emu_db:33908
final_consensus_12_depth_258	258	99.93	1	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33757
final_consensus_12_depth_258	258	99.93	1	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33729
final_consensus_13_depth_246	246	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28782
final_consensus_13_depth_246	246	100.00	0	1280	Staphylococcus aureus	Staphylococcus	1280:emu_db:28902
final_consensus_14_depth_196	196	99.93	1	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33773
final_consensus_14_depth_196	196	99.93	1	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33732
final_consensus_14_depth_196	196	99.93	1	1613	Limosilactobacillus fermentum	Limosilactobacillus	1613:emu_db:33719
final_consensus_15_depth_179	179	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31883
final_consensus_16_depth_165	165	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24156
final_consensus_16_depth_165	165	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23843
final_consensus_16_depth_165	165	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23816
final_consensus_17_depth_131	131	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31532
final_consensus_17_depth_131	131	100.00	0	1423	Bacillus subtilis	Bacillus	1423:emu_db:31880
final_consensus_18_depth_125	125	100.00	0	287	Pseudomonas aeruginosa	Pseudomonas	287:emu_db:9467
final_consensus_18_depth_125	125	100.00	0	287	Pseudomonas aeruginosa	Pseudomonas	287:emu_db:22317
final_consensus_18_depth_125	125	100.00	0	287	Pseudomonas aeruginosa	Pseudomonas	287:emu_db:22295
final_consensus_18_depth_125	125	100.00	0	287	Pseudomonas aeruginosa	Pseudomonas	287:emu_db:22407
final_consensus_18_depth_125	125	100.00	0	1978467	Pseudomonas sp. AK6U	Pseudomonas	1978467:emu_db:22298
final_consensus_19_depth_86	86	99.93	1	28901	Salmonella enterica	Salmonella	28901:emu_db:35544
final_consensus_20_depth_84	84	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24784
final_consensus_20_depth_84	84	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24039
final_consensus_20_depth_84	84	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24836
final_consensus_20_depth_84	84	100.00	0	622	Shigella dysenteriae	Shigella	622:emu_db:24040
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23845
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24838
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24190
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23903
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23829
final_consensus_21_depth_82	82	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24486
final_consensus_22_depth_82	82	99.93	1	562	Escherichia coli	Escherichia	562:emu_db:24635
final_consensus_22_depth_82	82	99.93	1	562	Escherichia coli	Escherichia	562:emu_db:24193
final_consensus_22_depth_82	82	99.93	1	562	Escherichia coli	Escherichia	562:emu_db:23909
final_consensus_22_depth_82	82	99.93	1	562	Escherichia coli	Escherichia	562:emu_db:24344
final_consensus_22_depth_82	82	99.93	1	562	Escherichia coli	Escherichia	562:emu_db:24198
final_consensus_23_depth_75	75	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24119
final_consensus_23_depth_75	75	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24102
final_consensus_23_depth_75	75	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24272
final_consensus_23_depth_75	75	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23939
final_consensus_23_depth_75	75	100.00	0	624	Shigella sonnei	Shigella	624:emu_db:24122
final_consensus_24_depth_63	63	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24118
final_consensus_24_depth_63	63	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23815
final_consensus_24_depth_63	63	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:23844
final_consensus_24_depth_63	63	100.00	0	562	Escherichia coli	Escherichia	562:emu_db:24237
